#Note: 15cm downstream step	Amplitdue (cm)															Shallow Depth (cm)							"Special Amp Run, 10cm upstream of step"
#time (s)	3.81	3.56	3.3	3.05	2.79	2.54	2.29	2.03	1.78	1.52	1.27	1.02	0.76	0.51	0.25	5.3	4.688	4.075	3.463	2.85	2.238	12.5	2.79
0.3334	-0.3042	-0.0597	-0.1506	-0.1927	0.3404	0.3393	0.0818	0.1149	0.1881	0.011	0.0107	0.0661	0.0405	0.0018	-0.029	-0.0767	0.0605	-0.1328	-0.1092	0.0068	0.1507	-0.3628	0.1281
0.35	-0.3485	-0.0795	-0.1511	-0.2189	0.3231	0.3716	0.1349	0.119	0.1605	0.0152	-0.017	0.0614	0.048	0.0024	-0.0275	-0.0834	0.1143	-0.0996	-0.1322	-0.0085	0.1753	-0.3964	0.117
0.3667	-0.386	-0.1197	-0.1633	-0.2303	0.2556	0.3734	0.1837	0.1084	0.1321	0.0306	-0.0401	0.0558	0.0457	0.0062	-0.0229	-0.0842	0.1536	-0.0565	-0.1533	-0.0246	0.2649	-0.4247	0.1036
0.3834	-0.4394	-0.1521	-0.1804	-0.231	0.18	0.3662	0.2153	0.108	0.1047	0.0468	-0.0671	0.0556	0.0459	0.0175	-0.0035	-0.082	0.1972	-0.0098	-0.1751	-0.0429	0.3372	-0.4236	0.103
0.4	-0.4757	-0.1741	-0.1945	-0.2154	0.0978	0.3087	0.2382	0.1057	0.0809	0.0754	-0.0922	0.0378	0.044	0.0182	0.003	-0.0703	0.2241	0.0286	-0.185	-0.0519	0.3038	-0.4075	0.1035
0.4167	-0.51	-0.1996	-0.2122	-0.1784	0.0156	0.2452	0.2402	0.0998	0.0568	0.0801	-0.1029	0.0316	0.0405	0.0331	0.0054	-0.0635	0.2249	0.0674	-0.1919	-0.0639	0.2687	-0.3688	0.1141
0.4334	-0.5421	-0.2108	-0.2122	-0.1324	-0.0659	0.1778	0.2265	0.0808	0.0411	0.1081	-0.1235	0.0253	0.0288	0.0334	0.0157	-0.0496	0.2216	0.1034	-0.1932	-0.0649	0.2025	-0.3231	0.1175
0.45	-0.5671	-0.2109	-0.2436	-0.071	-0.1381	0.1083	0.1894	0.056	0.0202	0.1096	-0.1322	0.0059	0.0202	0.0334	0.023	-0.0416	0.2018	0.1426	-0.1899	-0.065	0.1328	-0.2669	0.1233
0.4667	-0.581	-0.2039	-0.243	-0.0016	-0.1965	0.0425	0.1471	0.0312	0.0132	0.1142	-0.1391	-0.003	0.015	0.0449	0.0305	-0.0328	0.1755	0.1735	-0.1815	-0.0508	0.0731	-0.2027	0.1302
0.4834	-0.5871	-0.1865	-0.246	0.0767	-0.2394	-0.0073	0.1118	0.0014	0.0075	0.1028	-0.1407	-0.0155	-0.003	0.0441	0.0297	-0.0181	0.1328	0.1847	-0.1735	-0.0373	0.0219	-0.1291	0.1311
0.5	-0.5807	-0.165	-0.2431	0.1445	-0.2699	-0.0598	0.075	-0.028	-0.0093	0.0791	-0.1436	-0.0308	-0.0104	0.0398	0.0321	-0.0133	0.0833	0.1854	-0.1534	-0.0165	-0.0189	-0.0508	0.1306
0.5167	-0.511	-0.1359	-0.2033	0.1997	-0.2966	-0.0802	0.0423	-0.044	-0.0172	0.0459	-0.136	-0.0368	-0.0147	0.0366	0.0307	-0.0114	0.0339	0.1838	-0.1399	0.0003	-0.0596	0.0286	0.1214
0.5334	-0.3819	-0.1071	-0.1681	0.2539	-0.3045	-0.1087	0.0081	-0.0705	-0.0184	0.0125	-0.1156	-0.0416	-0.0218	0.0427	0.0312	-0.0111	-0.0139	0.1734	-0.108	0.0291	-0.0864	0.0998	0.1035
0.55	0.1563	-0.077	-0.1106	0.2746	-0.3123	-0.1196	-0.0061	-0.0884	-0.0254	-0.0218	-0.1117	-0.0428	-0.0246	0.0461	0.0188	-0.0121	-0.0572	0.1531	-0.0687	0.0611	-0.1204	0.1774	0.0929
0.5667	0.2624	-0.0441	-0.0501	0.2961	-0.3155	-0.1354	-0.0311	-0.1073	-0.0425	-0.0548	-0.0824	-0.0441	-0.0249	0.0412	0.007	-0.013	-0.1036	0.1265	-0.0219	0.0943	-0.1331	0.2333	0.0591
0.5834	0.4593	-0.0228	0.0372	0.2858	-0.3159	-0.1467	-0.0392	-0.1148	-0.0484	-0.0837	-0.0523	-0.0391	-0.0259	0.0395	0.0052	-0.0174	-0.1297	0.1187	0.0353	0.1237	-0.1467	0.281	0.0273
0.6	0.51	0.0201	0.1387	0.2449	-0.3039	-0.15	-0.0527	-0.1225	-0.0547	-0.1078	-0.021	-0.0263	-0.0256	0.0366	0.0045	-0.0286	-0.1505	0.0904	0.103	0.1538	-0.1574	0.3158	-0.0065
0.6167	0.4846	0.0541	0.2323	0.2006	-0.2881	-0.152	-0.0671	-0.1257	-0.0751	-0.1244	0.0106	-0.0138	-0.0233	0.0306	0.0035	-0.0349	-0.1537	0.0668	0.172	0.1619	-0.1523	0.3295	-0.0371
0.6334	0.4356	0.0937	0.311	0.1439	-0.2713	-0.154	-0.0713	-0.1259	-0.0795	-0.1304	0.0455	-0.0085	-0.0057	0.0217	0.003	-0.049	-0.1524	0.0566	0.2261	0.1564	-0.1643	0.3281	-0.0711
0.65	0.4122	0.1416	0.353	0.0864	-0.2355	-0.1679	-0.0727	-0.1149	-0.0842	-0.1337	0.0794	0.017	0.003	0.019	0.0027	-0.0561	-0.1426	0.0336	0.2586	0.1364	-0.1798	0.3071	-0.1012
0.6667	0.3888	0.183	0.3544	0.0311	-0.1866	-0.1761	-0.0815	-0.0939	-0.0879	-0.1346	0.1165	0.0205	0.0063	0.0163	0.0025	-0.0756	-0.1126	0.0268	0.3264	0.1062	-0.1915	0.268	-0.1313
0.6834	0.3655	0.2218	0.3139	-0.0174	-0.1273	-0.1785	-0.0959	-0.0611	-0.0931	-0.1115	0.1417	0.0492	0.0323	0.0086	0.0024	-0.0844	-0.0826	0.0202	0.3375	0.0676	-0.1955	0.2214	-0.1471
0.7	0.317	0.2518	0.2494	-0.0568	-0.0547	-0.18	-0.1012	-0.0179	-0.0967	-0.0804	0.1684	0.0717	0.0351	0.0052	0.0024	-0.0963	-0.0425	0.0038	0.3679	0.013	-0.2003	0.1713	-0.1643
0.7167	0.2627	0.2717	0.1789	-0.0883	0.0437	-0.1823	-0.1115	0.039	-0.0949	-0.0459	0.1706	0.0812	0.0462	-0.0086	0.0023	-0.1055	-0.0011	-0.0019	0.3626	-0.0368	-0.182	0.1054	-0.1706
0.7334	0.1759	0.2787	0.1111	-0.1176	0.1553	-0.1836	-0.1245	0.1	-0.0861	-0.001	0.1743	0.1025	0.0656	-0.0109	0.0022	-0.1086	0.0392	-0.004	0.3161	-0.084	-0.1452	0.0392	-0.1697
0.75	0.0902	0.2754	0.0508	-0.1338	0.2822	-0.1862	-0.13	0.1667	-0.0842	0.0561	0.162	0.1103	0.0701	-0.013	0.0023	-0.1192	0.0743	-0.0056	0.236	-0.1353	-0.102	-0.0279	-0.16
0.7667	-0.0165	0.2532	0.007	-0.152	0.3983	-0.1794	-0.1326	0.235	-0.081	0.1144	0.145	0.1088	0.0782	-0.0176	0.0014	-0.1227	0.0936	-0.0174	0.16	-0.1738	-0.0355	-0.0867	-0.1494
0.7834	-0.1226	0.2256	-0.0197	-0.1612	0.489	-0.1628	-0.1336	0.2922	-0.063	0.1764	0.114	0.0903	0.082	-0.0218	0.0007	-0.1215	0.1158	-0.0324	0.0819	-0.205	0.0449	-0.1401	-0.1202
0.8	-0.2239	0.185	-0.0289	-0.1632	0.4998	-0.1393	-0.1131	0.3409	-0.0517	0.2293	0.0829	0.0843	0.0777	-0.0274	0.0006	-0.1113	0.1194	-0.0375	0.0059	-0.2276	0.123	-0.1908	-0.0889
0.8167	-0.2956	0.1423	-0.0231	-0.1628	0.4285	-0.1138	-0.1044	0.3556	-0.0299	0.2696	0.054	0.0689	0.0737	-0.0327	-0.0024	-0.1042	0.1242	-0.0557	-0.0708	-0.2437	0.1514	-0.2273	-0.0438
0.8334	-0.3121	0.1038	0.0028	-0.1615	0.3372	-0.0735	-0.075	0.3543	-0.0037	0.2982	0.0268	0.058	0.056	-0.0353	-0.0049	-0.0936	0.1143	-0.0648	-0.1351	-0.251	0.2458	-0.2492	0.0031
0.85	-0.316	0.0683	0.0345	-0.1597	0.1991	-0.0356	-0.044	0.3058	0.0103	0.3142	-0.0003	0.033	0.0472	-0.0397	-0.0036	-0.0709	0.1015	-0.0678	-0.1802	-0.2514	0.294	-0.2686	0.0368
0.8667	-0.2988	0.034	0.0598	-0.1521	0.0771	0.0109	-0.0035	0.2409	0.0392	0.2902	-0.0219	0.0163	0.0327	-0.0422	-0.0045	-0.0463	0.0863	-0.0829	-0.2122	-0.2385	0.2792	-0.2679	0.0769
0.8834	-0.2807	-0.0027	0.0706	-0.1506	-0.0096	0.0738	0.052	0.1707	0.0632	0.2374	-0.0389	-0.0016	0.0178	-0.038	-0.0033	-0.0206	0.0715	-0.0904	-0.2373	-0.2143	0.2232	-0.2556	0.1144
0.9001	-0.3285	-0.0397	0.0848	-0.1358	-0.0882	0.1349	0.1083	0.0979	0.0778	0.1862	-0.0486	-0.0265	0.0016	-0.0311	-0.002	0.0077	0.0553	-0.0932	-0.2493	-0.1748	0.1358	-0.2286	0.1357
0.9167	-0.3877	-0.0765	0.0851	-0.1259	-0.1164	0.1926	0.1713	0.0241	0.1033	0.1268	-0.0667	-0.035	-0.0127	-0.0284	-0.0001	0.0387	0.0361	-0.093	-0.2565	-0.1279	0.0546	-0.2017	0.1473
0.9334	-0.4568	-0.1109	0.0741	-0.1063	-0.131	0.2487	0.2348	-0.0443	0.1162	0.0585	-0.0717	-0.057	-0.0238	-0.0271	0.0025	0.0714	0.0206	-0.0839	-0.2612	-0.0668	-0.008	-0.1566	0.1507
