deltaTheta,June25a,June25b,June25c,June25d,June25e,June26a,June26b,June26c,June26d,June26e,June26f,June26g,June26h,June26i,June26j
-38.079,0.1549,0.1215,0.1163,0.1109,0.0999,0.0831,0.0751,0.066,0.0565,0.0455,0.0363,0.0295,0.0228,0.0159,0.0155
-37.764,0.1533,0.1226,0.1167,0.1111,0.1003,0.0832,0.0754,0.0661,0.0566,0.0455,0.0365,0.0299,0.024,0.0184,0.0163
-37.45,0.1544,0.1231,0.1167,0.1113,0.1005,0.0833,0.0754,0.0663,0.0564,0.0456,0.0367,0.0296,0.024,0.0179,0.0152
-37.135,0.155,0.1237,0.1168,0.1117,0.1007,0.0835,0.0755,0.0663,0.0566,0.0456,0.0369,0.0289,0.0226,0.0149,0.0152
-36.82,0.1563,0.1238,0.1173,0.1117,0.1009,0.0835,0.0756,0.0663,0.0569,0.0458,0.0365,0.0292,0.0226,0.0154,0.0157
-36.506,0.1567,0.124,0.1176,0.112,0.1012,0.0838,0.0759,0.0666,0.057,0.0457,0.0367,0.0296,0.0237,0.0177,0.0175
-36.191,0.1574,0.1243,0.1178,0.1122,0.1014,0.0841,0.076,0.0668,0.057,0.046,0.0367,0.0296,0.0237,0.0178,0.0168
-35.876,0.1583,0.1244,0.118,0.1128,0.1015,0.0842,0.0762,0.0669,0.057,0.0462,0.0371,0.029,0.0231,0.0157,0.015
-35.561,0.1581,0.1229,0.1185,0.1128,0.1018,0.0844,0.0763,0.067,0.0572,0.0462,0.0369,0.0292,0.0223,0.015,0.0155
-35.247,0.1552,0.1249,0.1185,0.1129,0.1021,0.0846,0.0765,0.0673,0.0573,0.0463,0.0367,0.0295,0.0233,0.0171,0.0169
-34.932,0.1587,0.1259,0.1187,0.113,0.1025,0.0848,0.0768,0.0674,0.0575,0.0465,0.0371,0.0297,0.0237,0.0178,0.0172
-34.617,0.1596,0.1262,0.1188,0.1131,0.1025,0.0852,0.0768,0.0676,0.0575,0.0466,0.0374,0.0295,0.0238,0.0174,0.0152
-34.303,0.1606,0.1266,0.1194,0.1133,0.1025,0.0852,0.077,0.0677,0.058,0.0465,0.0371,0.0293,0.0223,0.0146,0.0152
-33.988,0.1615,0.1271,0.1198,0.1136,0.1028,0.0858,0.0775,0.0683,0.0581,0.0467,0.0368,0.0296,0.0232,0.0165,0.0167
-33.673,0.1619,0.1272,0.1198,0.1139,0.1031,0.0857,0.0775,0.0684,0.058,0.0472,0.037,0.0296,0.0238,0.0178,0.0179
-33.359,0.1622,0.1272,0.1197,0.1145,0.1033,0.0859,0.0776,0.0685,0.0583,0.0474,0.0372,0.0296,0.0235,0.0176,0.0163
-33.044,0.1626,0.1277,0.1196,0.1151,0.1038,0.0858,0.0777,0.0684,0.0587,0.0473,0.0372,0.0297,0.0231,0.0152,0.0148
-32.729,0.1629,0.1282,0.1199,0.1153,0.1041,0.0864,0.0784,0.0689,0.0587,0.0472,0.0371,0.0303,0.0233,0.0162,0.0164
-32.414,0.164,0.1285,0.1204,0.1156,0.1048,0.0867,0.0785,0.0691,0.0586,0.0472,0.0372,0.0302,0.024,0.0179,0.0178
-32.1,0.1645,0.1281,0.121,0.1157,0.1051,0.0865,0.0785,0.0692,0.0585,0.0478,0.0373,0.0299,0.0239,0.0181,0.0161
-31.785,0.1647,0.1279,0.1216,0.1163,0.1053,0.0867,0.0786,0.0692,0.0589,0.0478,0.0372,0.0297,0.0233,0.0166,0.0157
-31.47,0.1655,0.1278,0.1222,0.1164,0.1054,0.0869,0.079,0.0695,0.0594,0.048,0.0375,0.0298,0.0228,0.015,0.0145
-31.156,0.1667,0.1279,0.1226,0.1167,0.1054,0.0874,0.0794,0.07,0.0595,0.0479,0.0375,0.0297,0.0231,0.017,0.0146
