deltaTheta,June25a,June25b,June25c,June25d,June25e,June26a,June26b,June26c,June26d,June26e,June26f,June26g,June26h,June26i,June26j
4.091,0.1853,0.1317,0.1135,0.1001,0.0941,0.0853,0.0772,0.0701,0.0602,0.0492,0.0475,0.0333,0.025,0.0188,0.0191
4.406,0.1836,0.13,0.1119,0.0996,0.0931,0.084,0.0761,0.0691,0.0594,0.0487,0.0474,0.0331,0.0251,0.0187,0.0164
4.721,0.181,0.1283,0.1107,0.0994,0.0922,0.0829,0.0751,0.0683,0.0589,0.0483,0.0468,0.0327,0.0247,0.016,0.0159
5.035,0.179,0.1268,0.1094,0.0997,0.0913,0.0817,0.0741,0.0675,0.0584,0.0482,0.0462,0.0322,0.0246,0.0175,0.0177
5.35,0.1759,0.1254,0.1086,0.1003,0.0906,0.0807,0.0734,0.0669,0.0577,0.0476,0.0459,0.032,0.0241,0.019,0.018
5.665,0.1731,0.1245,0.1079,0.1007,0.0906,0.0798,0.0725,0.0661,0.0572,0.0475,0.0454,0.0318,0.0241,0.0182,0.0159
5.979,0.1713,0.1227,0.1071,0.1014,0.0909,0.0788,0.0717,0.0654,0.057,0.0473,0.0448,0.0319,0.0245,0.0156,0.0155
6.294,0.1687,0.1212,0.1064,0.1023,0.0914,0.078,0.0711,0.0648,0.0568,0.0475,0.0442,0.0316,0.0241,0.0166,0.0163
6.609,0.1674,0.1194,0.1061,0.103,0.0922,0.0775,0.0709,0.0645,0.0565,0.0473,0.0437,0.0315,0.0239,0.0186,0.0173
6.924,0.1658,0.1183,0.1068,0.1029,0.0929,0.0775,0.0709,0.0642,0.0564,0.0474,0.0432,0.0311,0.0237,0.0167,0.0155
7.238,0.164,0.1177,0.1076,0.1033,0.0936,0.0773,0.0711,0.0641,0.0567,0.0479,0.0427,0.031,0.023,0.0151,0.0153
7.553,0.1617,0.1163,0.1084,0.1044,0.0942,0.0776,0.0716,0.0646,0.0577,0.0483,0.0421,0.0318,0.0238,0.016,0.0172
7.868,0.1599,0.1151,0.1091,0.1054,0.0945,0.0784,0.0721,0.0651,0.0581,0.0482,0.0417,0.0318,0.0244,0.0178,0.0165
8.182,0.1595,0.1152,0.1102,0.1063,0.0951,0.0791,0.0728,0.066,0.0585,0.0485,0.0413,0.0318,0.0241,0.0159,0.0152
8.497,0.1607,0.1157,0.1105,0.107,0.0966,0.0797,0.0729,0.0665,0.0592,0.0493,0.041,0.0318,0.0235,0.0152,0.0159
8.812,0.16,0.1161,0.1107,0.1076,0.0978,0.0802,0.0734,0.0669,0.0598,0.0498,0.0406,0.0324,0.024,0.0158,0.0157
9.126,0.1599,0.1168,0.1114,0.1079,0.0985,0.081,0.0741,0.0674,0.0603,0.05,0.0403,0.0326,0.0245,0.0159,0.0157
9.441,0.1607,0.1182,0.1126,0.1086,0.0986,0.0818,0.0749,0.0681,0.0606,0.0505,0.0402,0.033,0.0246,0.0162,0.0161
9.756,0.1602,0.1194,0.114,0.1091,0.0988,0.0825,0.0753,0.0686,0.0611,0.0514,0.0403,0.0332,0.0247,0.0158,0.0164
