Amplitdue (cm)															Shallow Depth (cm)						Note: Each column is the distance from the step of each of the 192 spatial data points
3.81	3.56	3.3	3.05	2.79	2.54	2.29	2.03	1.78	1.52	1.27	1.02	0.76	0.51	0.25	5.3	4.688	4.075	3.463	2.85	2.238	
-50.353	-49.723	-47.835	-46.261	-47.205	-48.15	-48.15	-48.15	-47.52	-47.205	-50.982	-47.52	-47.835	-47.835	-47.52	-50.98	-50.67	-50.67	-49.09	-49.09	-49.72	
-50.038	-49.408	-47.52	-45.947	-46.891	-47.835	-47.835	-47.835	-47.205	-46.891	-50.667	-47.205	-47.52	-47.52	-47.205	-50.67	-50.35	-50.35	-48.78	-48.78	-49.41	
-49.723	-49.094	-47.205	-45.632	-46.576	-47.52	-47.52	-47.52	-46.891	-46.576	-50.353	-46.891	-47.205	-47.205	-46.891	-50.35	-50.04	-50.04	-48.46	-48.46	-49.09	
-49.408	-48.779	-46.891	-45.317	-46.261	-47.205	-47.205	-47.205	-46.576	-46.261	-50.038	-46.576	-46.891	-46.891	-46.576	-50.04	-49.72	-49.72	-48.15	-48.15	-48.78	
-49.094	-48.464	-46.576	-45.003	-45.947	-46.891	-46.891	-46.891	-46.261	-45.947	-49.723	-46.261	-46.576	-46.576	-46.261	-49.72	-49.41	-49.41	-47.83	-47.83	-48.46	
-48.779	-48.15	-46.261	-44.688	-45.632	-46.576	-46.576	-46.576	-45.947	-45.632	-49.408	-45.947	-46.261	-46.261	-45.947	-49.41	-49.09	-49.09	-47.52	-47.52	-48.15	
-48.464	-47.835	-45.947	-44.373	-45.317	-46.261	-46.261	-46.261	-45.632	-45.317	-49.094	-45.632	-45.947	-45.947	-45.632	-49.09	-48.78	-48.78	-47.21	-47.21	-47.83	
-48.15	-47.52	-45.632	-44.058	-45.003	-45.947	-45.947	-45.947	-45.317	-45.003	-48.779	-45.317	-45.632	-45.632	-45.317	-48.78	-48.46	-48.46	-46.89	-46.89	-47.52	
-47.835	-47.205	-45.317	-43.744	-44.688	-45.632	-45.632	-45.632	-45.003	-44.688	-48.464	-45.003	-45.317	-45.317	-45.003	-48.46	-48.15	-48.15	-46.58	-46.58	-47.21	
-47.52	-46.891	-45.003	-43.429	-44.373	-45.317	-45.317	-45.317	-44.688	-44.373	-48.15	-44.688	-45.003	-45.003	-44.688	-48.15	-47.83	-47.83	-46.26	-46.26	-46.89	
-47.205	-46.576	-44.688	-43.114	-44.058	-45.003	-45.003	-45.003	-44.373	-44.058	-47.835	-44.373	-44.688	-44.688	-44.373	-47.83	-47.52	-47.52	-45.95	-45.95	-46.58	
-46.891	-46.261	-44.373	-42.8	-43.744	-44.688	-44.688	-44.688	-44.058	-43.744	-47.52	-44.058	-44.373	-44.373	-44.058	-47.52	-47.21	-47.21	-45.63	-45.63	-46.26	
-46.576	-45.947	-44.058	-42.485	-43.429	-44.373	-44.373	-44.373	-43.744	-43.429	-47.205	-43.744	-44.058	-44.058	-43.744	-47.21	-46.89	-46.89	-45.32	-45.32	-45.95	
-46.261	-45.632	-43.744	-42.17	-43.114	-44.058	-44.058	-44.058	-43.429	-43.114	-46.891	-43.429	-43.744	-43.744	-43.429	-46.89	-46.58	-46.58	-45	-45	-45.63	
-45.947	-45.317	-43.429	-41.856	-42.8	-43.744	-43.744	-43.744	-43.114	-42.8	-46.576	-43.114	-43.429	-43.429	-43.114	-46.58	-46.26	-46.26	-44.69	-44.69	-45.32	
-45.632	-45.003	-43.114	-41.541	-42.485	-43.429	-43.429	-43.429	-42.8	-42.485	-46.261	-42.8	-43.114	-43.114	-42.8	-46.26	-45.95	-45.95	-44.37	-44.37	-45	
-45.317	-44.688	-42.8	-41.226	-42.17	-43.114	-43.114	-43.114	-42.485	-42.17	-45.947	-42.485	-42.8	-42.8	-42.485	-45.95	-45.63	-45.63	-44.06	-44.06	-44.69	
-45.003	-44.373	-42.485	-40.911	-41.856	-42.8	-42.8	-42.8	-42.17	-41.856	-45.632	-42.17	-42.485	-42.485	-42.17	-45.63	-45.32	-45.32	-43.74	-43.74	-44.37	
-44.688	-44.058	-42.17	-40.597	-41.541	-42.485	-42.485	-42.485	-41.856	-41.541	-45.317	-41.856	-42.17	-42.17	-41.856	-45.32	-45	-45	-43.43	-43.43	-44.06	
-44.373	-43.744	-41.856	-40.282	-41.226	-42.17	-42.17	-42.17	-41.541	-41.226	-45.003	-41.541	-41.856	-41.856	-41.541	-45	-44.69	-44.69	-43.11	-43.11	-43.74	
-44.058	-43.429	-41.541	-39.967	-40.911	-41.856	-41.856	-41.856	-41.226	-40.911	-44.688	-41.226	-41.541	-41.541	-41.226	-44.69	-44.37	-44.37	-42.8	-42.8	-43.43	
-43.744	-43.114	-41.226	-39.653	-40.597	-41.541	-41.541	-41.541	-40.911	-40.597	-44.373	-40.911	-41.226	-41.226	-40.911	-44.37	-44.06	-44.06	-42.48	-42.48	-43.11	
